processor,score
Dimensity 9300,98
Snapdragon 8 Gen 3,97
A17 Pro,97
Exynos 2400,96
A16 Bionic,94
Dimensity 9200 Plus,92
Snapdragon 8s Gen 3,91
Snapdragon 8 Gen 2,91
Dimensity 9200,91
A15 Bionic,89
Snapdragon 7 Plus Gen 3,87
Snapdragon 8 Plus Gen 1,85
Dimensity 8300,84
Dimensity 9000 Plus,83
Tensor G3,82
A14 Bionic,82
Snapdragon 8 Gen 1,80
Snapdragon 7 Plus Gen 2,77
Exynos 2200,77
Dimensity 9000,75
A13 Bionic,74
Snapdragon 888 Plus,71
Google Tensor,69
Tensor G2,68
Snapdragon 888,68
Kirin 9000,67
Dimensity 8200,65
Exynos 2100,65
Snapdragon 7 Gen 3,64
Kirin 9010,63
Dimensity 8100,63
Snapdragon 870,63
Snapdragon 865 Plus,61
Dimensity 1300,60
Kirin 9000S,59
Dimensity 1100,59
Dimensity 7200 Ultra,58
Dimensity 8020,58
Dimensity 1200,58
Snapdragon 865,58
Exynos 1480,57
Dimensity 8050,57
Dimensity 7200,57
A12 Bionic,57
Snapdragon 782G,53
Exynos 990,53
Kirin 990 (5G),53
Snapdragon 7 Gen 1,52
Dimensity 1000 Plus,52
Snapdragon 778G Plus,51
Snapdragon 780G,51
Snapdragon 860,51
Snapdragon 855 Plus,51
Snapdragon 778G,49
Snapdragon 7s Gen 2,48
Exynos 1380,48
Dimensity 1050,48
Exynos 9825,48
Snapdragon 855,48
Dimensity 7030,47
Dimensity 7050,47
Dimensity 1080,47
Exynos 9820,47
Dimensity 7025,46
Snapdragon 6 Gen 1,46
Dimensity 920,46
Kirin 980,45
Dimensity 930,44
A11 Bionic,44
Dimensity 7020,43
Dimensity 820,43
Unisoc T820,42
Snapdragon 4 Gen 2,42
Dimensity 900,42
Snapdragon 845,42
Snapdragon 695,41
Dimensity 6300,40
Exynos 1330,40
Exynos 1280,40
Snapdragon 750G,40
Exynos 980,40
Dimensity 6100 Plus,39
Dimensity 6080,39
Dimensity 6020,39
Snapdragon 4 Gen 1,39
Dimensity 810,39
Dimensity 800,39
Snapdragon 765G,39
Snapdragon 480 Plus,38
Snapdragon 732G,38
Dimensity 800U,38
Snapdragon 720G,38
Kirin 810,38
Exynos 9810,38
Helio G99,37
Dimensity 720,37
Snapdragon 690,37
Snapdragon 480,36
Dimensity 700,36
Snapdragon 730G,36
Snapdragon 730,36
Helio G95,35
Helio G90T,35
A10 Fusion,35
Snapdragon 835,34
Snapdragon 685,33
Helio G96,33
Snapdragon 678,33
Exynos 8895,33
Snapdragon 680,32
Snapdragon 712,32
Snapdragon 675,32
Kirin 970,32
Helio P95,31
Tiger T618,30
Snapdragon 710,30
Helio P90,30
Tiger T700,29
Tiger T616,28
Helio G88,28
Helio G85,28
Snapdragon 662,28
Helio G80,28
Helio G70,28
Snapdragon 665,28
Snapdragon 670,28
Tiger T612,27
Tiger T610,27
Exynos 9611,27
Apple A9,27
Snapdragon 821,27
Kirin 960,27
Unisoc T606,26
Snapdragon 460,26
Kirin 710F,26
Helio P65,26
Helio P70,26
Kirin 710,26
Exynos 8890,26
Exynos 9610,26
Helio G36,25
Helio G37,25
Kirin 710A,25
Exynos 850,25
Helio P60,25
Snapdragon 660,25
Helio G35,24
Snapdragon 820,24
Helio P35,24
Snapdragon 632,24
Helio G25,23
Snapdragon 439,23
Helio P22,23
Exynos 7904,23
Snapdragon 636,23
Helio A22,23
Snapdragon 630,22
Exynos 7884B,21
Exynos 7885,21
Snapdragon 450,21
Snapdragon 625,20
Kirin 659,19
Exynos 7870,18
Unisoc SC9863A,17
Snapdragon 430,15
Snapdragon 435,14
MediaTek MT6737,11
